OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
109,0.0101274,0.0564108,0.0007482,0.0013154,0.0028043,0.0049200,109,235,1.0000000,62.0000000,1922.0000000,58.9944458,0.9847103,1771.3444824
110,0.0072988,0.0535795,0.0007330,0.0013185,0.0030828,0.0060059,110,1440,1.0000000,62.0000000,1922.0000000,58.8722229,0.9830833,1766.1722412
111,0.0084317,0.0634040,0.0007243,0.0012650,0.0026367,0.0042515,111,300,1.0000000,62.0000000,1922.0000000,59.0888901,0.9847547,1776.1389160
112,0.0091909,0.0538508,0.0006376,0.0010952,0.0023702,0.0043043,112,953,1.0000000,62.0000000,1922.0000000,59.3250008,0.9861177,1787.8471680
113,0.0184824,0.0851640,0.0011407,0.0023477,0.0058449,0.0103305,113,338,1.0000000,62.0000000,1922.0000000,59.8527794,0.9885755,1812.6306152
114,0.0245866,0.0736829,0.0009287,0.0017664,0.0040984,0.0085672,114,885,1.0000000,62.0000000,1922.0000000,60.1333351,0.9908810,1826.4666748
115,0.0223599,0.0949920,0.0011283,0.0022374,0.0057879,0.0149491,115,1135,1.0000000,62.0000000,1922.0000000,60.0277786,0.9907790,1820.1166992
116,0.0273816,0.1453999,0.0010374,0.0020946,0.0057450,0.0118890,116,339,1.0000000,62.0000000,1922.0000000,60.9833336,0.9959924,1867.2889404
117,0.0281012,0.1996569,0.0007625,0.0013552,0.0030017,0.0050877,117,1150,1.0000000,62.0000000,1922.0000000,60.8777771,0.9959100,1860.9388428
118,0.0246380,0.1788632,0.0011213,0.0022937,0.0063625,0.0133843,118,629,1.0000000,62.0000000,1922.0000000,61.1250000,0.9961807,1875.6805420
119,0.0455877,0.2291741,0.0009123,0.0017428,0.0049265,0.0133197,119,1176,1.0000000,62.0000000,1922.0000000,61.0194435,0.9960993,1869.3305664
120,0.0283176,0.1655381,0.0011609,0.0024774,0.0070960,0.0136155,120,432,1.0000000,62.0000000,1922.0000000,61.2472229,0.9965457,1882.5416260
121,0.0878019,0.1998771,0.0010524,0.0022264,0.0068112,0.0153898,121,438,1.0000000,62.0000000,1922.0000000,61.1527786,0.9964761,1876.8638916
122,0.0290347,0.2046360,0.0010823,0.0021966,0.0059297,0.0117257,122,166,1.0000000,62.0000000,1922.0000000,61.3638878,0.9971129,1888.6361084
123,0.0844745,0.2097601,0.0016399,0.0038814,0.0109690,0.0228917,123,509,1.0000000,62.0000000,1922.0000000,61.2861099,0.9970644,1883.9583740
124,0.0162092,0.1160416,0.0008911,0.0016989,0.0043895,0.0099034,124,110,1.0000000,62.0000000,1922.0000000,59.7833328,0.9887781,1808.4721680
125,0.0194720,0.0872456,0.0007572,0.0013486,0.0029840,0.0053578,125,1367,1.0000000,62.0000000,1922.0000000,59.7750015,0.9889801,1807.5805664
126,0.0097934,0.0463450,0.0007088,0.0012516,0.0027568,0.0047827,126,1294,1.0000000,62.0000000,1922.0000000,59.8222237,0.9895667,1809.3778076
