OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
851,OBJEC_906,1115,10462,12886,58999,18459,5126,2135,564,115,24,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,OBJEC_907,1615,13081,15831,61049,14846,2980,655,145,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,OBJEC_908,1539,13844,15492,59127,14787,3465,1150,297,84,49,17,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,OBJEC_909,980,8810,11526,57972,21126,6313,2486,702,199,63,29,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,OBJEC_910,978,8740,10937,51894,19613,8156,4675,2345,1283,714,410,206,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,OBJEC_911,1013,8580,10790,50816,21877,8225,4100,1859,969,615,351,259,759,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,OBJEC_912,1273,10138,11871,52938,20130,7457,3729,1583,631,320,107,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,OBJEC_913,1129,10983,12901,56008,18806,6157,2749,1028,284,114,35,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,OBJEC_914,1408,12541,14335,56848,15955,4750,2217,974,506,331,167,91,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,OBJEC_915,964,8456,11366,54024,20262,8035,3966,1648,735,422,179,87,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,OBJEC_916,1098,9159,11786,53631,17831,6337,3338,1874,1314,1023,672,508,1621,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,OBJEC_917,973,8814,11041,50596,19773,8934,5571,2512,962,496,218,123,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,OBJEC_919,579,5592,7654,46218,24604,11457,7411,3024,1221,729,410,272,678,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,OBJEC_920,507,4225,5707,36513,21560,11405,8481,5166,3287,2416,1925,1716,6515,634,117,36,12,2,0,0,0,0,0,0,0,0,0,0
865,OBJEC_921,1792,13913,15950,55925,14344,4504,1855,782,364,215,99,68,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,OBJEC_922,1175,10692,12567,58469,19172,5323,2101,539,130,47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,OBJEC_923,1149,10525,13506,61378,17947,4135,1262,257,46,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,OBJEC_924,1342,11837,14121,59724,17149,4300,1406,306,30,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,OBJEC_925,698,6278,7595,36540,18769,10538,7902,5297,3772,2895,2176,1740,5444,480,67,29,4,0,0,0,0,0,0,0,0,0,0,0
870,OBJEC_926,848,7725,10161,52491,22080,8801,4366,1707,760,424,228,115,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,OBJEC_927,1814,14821,16502,59395,12235,2764,1039,470,196,69,43,29,183,166,94,60,12,0,0,0,0,0,0,0,0,0,0,0
872,OBJEC_928,831,8051,10596,54697,23257,7786,3181,948,271,111,67,40,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,OBJEC_929,1070,10858,12398,54725,17884,6622,3855,1530,600,330,173,103,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,OBJEC_930,962,9385,12525,60696,19946,4982,1192,189,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,OBJEC_931,712,6659,8700,47403,24883,10769,5929,2358,964,534,289,241,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,OBJEC_932,1429,13137,15811,62648,13911,2354,517,75,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,OBJEC_933,1852,15630,17025,56558,12063,3383,1755,683,274,149,97,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,OBJEC_934,1556,14480,16357,62226,12791,2077,563,124,38,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,OBJEC_935,743,6579,8229,44056,22236,11365,7241,4138,2315,1373,799,500,640,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,OBJEC_936,890,7159,8796,43918,22247,10935,7073,3458,1914,1233,803,643,1147,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,OBJEC_937,1622,14425,16353,61582,13125,2290,714,103,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,OBJEC_938,1406,11743,14143,55559,16712,5354,2532,978,465,288,181,147,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,OBJEC_939,1367,11687,14510,60348,16655,4041,1072,170,26,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,OBJEC_942,877,7577,9819,51714,23431,9305,4150,1578,753,325,174,109,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,OBJEC_943,924,8037,9800,48794,21311,9114,5305,2612,1528,903,506,362,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,OBJEC_944,831,7777,9575,48339,20164,8649,5664,2693,1581,1079,686,555,1981,266,147,55,26,24,36,24,19,52,1,0,0,0,0,0
887,OBJEC_945,1311,11509,13707,60554,17612,4111,1178,206,25,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,OBJEC_946,933,8780,10910,54189,19805,7426,4201,1843,796,518,240,129,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,OBJEC_947,1250,11633,14338,58944,16136,4432,2200,708,185,54,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,OBJEC_948,934,8017,9590,49075,22694,9307,5114,2240,1018,573,309,220,613,85,45,34,16,4,4,0,0,0,0,0,0,0,0,0
891,OBJEC_949,686,6239,8182,48203,24330,10713,5953,2793,1296,800,408,229,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,OBJEC_950,301,2712,3736,25805,19681,13582,10378,7420,5600,3983,3013,2420,9381,1606,226,40,7,1,0,0,0,0,0,0,0,0,0,0
893,OBJEC_952,1133,10732,13360,57800,17694,5686,2523,769,291,135,56,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,OBJEC_953,1139,10105,12672,59609,18898,5381,1917,437,50,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,OBJEC_954,1469,13508,15378,59097,14392,3632,1501,412,111,42,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,OBJEC_955,1525,13249,15386,60403,14701,3078,1199,350,127,86,50,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,OBJEC_956,1435,13008,14836,59939,15283,3927,1380,348,60,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,OBJEC_957,1069,8447,10103,45976,20860,9195,4939,2779,1854,1271,797,584,1894,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,OBJEC_958,907,8098,9917,48171,21261,9339,5999,2968,1383,782,428,285,616,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,OBJEC_959,926,8127,10222,53585,21687,8096,3821,1432,626,383,239,160,517,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0
901,OBJEC_960,877,7562,9995,50601,22965,9601,4676,1881,784,406,212,124,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,OBJEC_961,1027,9490,11546,53051,19382,7427,3938,1956,1015,652,302,185,247,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,OBJEC_962,620,5896,7617,42685,22751,11339,7192,4132,2369,1484,821,554,1603,278,111,64,28,13,4,0,0,0,0,0,0,0,0,0
904,OBJEC_963,842,7243,9204,45446,20366,9933,6821,3711,2138,1432,887,664,1200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,OBJEC_964,1332,12014,13286,54666,17818,5656,2805,1399,560,343,134,68,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,OBJEC_966,1308,11756,14132,59248,16351,4483,2079,657,140,55,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,OBJEC_967,1814,16686,18068,60014,10268,2270,846,219,25,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,OBJEC_968,1669,13560,15909,58806,14700,3172,992,360,258,178,113,77,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,OBJEC_969,1842,15256,17415,60233,11870,2227,587,104,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,OBJEC_970,1303,11291,13230,59147,18437,4718,1470,263,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,OBJEC_971,1880,16018,18390,61064,10807,1481,230,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
