,RMSE,MAE,R2
210,0.047740376461134576,0.03600495537961503,0.4252744109718733
211,0.04448688636216965,0.03365473113086224,0.4713011485206779
212,0.044373772633670955,0.03367227862993375,0.46817955893206215
213,0.04480438711286891,0.03403379718963015,0.44071740961054795
214,0.045392389323739575,0.034348000552423374,0.4570243855346032
215,0.046453217308287664,0.035394371085141645,0.43223054428562163
216,0.04502536714615961,0.0344873194160668,0.4861372172400649
217,0.045698801702552756,0.03408494672877268,0.4554089481033138
218,0.04657662488558754,0.034728617026271676,0.4115783160948856
219,0.04475037726092842,0.034134456927969084,0.48553076343683343
220,0.04777232706954603,0.03569096756634158,0.4014592441332668
221,0.044279435081511574,0.03333686858800281,0.47337590256507184
222,0.04576068194644196,0.034107463919771173,0.43257557059962337
223,0.0450743713912953,0.0341986455790487,0.4620706204862864
224,0.045390635726338766,0.03418003356989053,0.43523834965377384
225,0.04412440310008054,0.03332140242087482,0.4620330844515531
226,0.04461951514351983,0.03403430164361883,0.42299097139365177
227,0.04685654022136285,0.03479392365550687,0.43171015912679406
228,0.04475633464410009,0.033910126281403524,0.4759145880819473
229,0.044059268346797166,0.03405005138400824,0.4752764852667078
230,0.04453088796203081,0.033617944073641194,0.47841373626460054
231,0.045426709625437996,0.03503000377752486,0.4620992874725362
232,0.0456658119204533,0.034735883536919976,0.4216763399511653
233,0.046077319648418394,0.03511459515134044,0.4159532408997233
234,0.04625766682305363,0.03499520932370362,0.4500844054475334
235,0.04590297232859655,0.034807523628885985,0.45140443612180936
236,0.04600696224424034,0.03451418604978343,0.4717447321273608
237,0.04570624598954596,0.03391637644254921,0.4075962286767916
238,0.04528310343164351,0.034199952303780985,0.4727953891185441
239,0.04621815507081453,0.03524202535120776,0.4476451275709095
240,0.046549008737534224,0.03511262587345819,0.44326750233571655
241,0.04642979874092227,0.03497808345540722,0.4415929464922445
242,0.04479365870477878,0.03418705937108415,0.4444707876936465
243,0.04798540719555505,0.03587942791081296,0.44284862643859263
244,0.04464580193936963,0.03365725038715495,0.43052616345820965
245,0.04435300657499312,0.03418975704923878,0.4851519154482675
246,0.04604329126100098,0.03417596793005469,0.4625917035240511
247,0.04549915053277297,0.034070108761327225,0.4279785364372572
248,0.047018080764707516,0.034947305479654606,0.42434588374078913
249,0.0440395151441049,0.032955504858548056,0.4818447374430788
250,0.04648943826773482,0.03510809980293701,0.4055912396354128
251,0.04500535805593538,0.03391155177236171,0.43937744041171295
252,0.04553876721210155,0.034728160580309954,0.4567168941885672
253,0.04478879422834433,0.0337187451536519,0.46600789132440734
254,0.04665001383949526,0.03493897078715834,0.4340622116857933
255,0.04807970972605576,0.036281600682238305,0.42187205095165586
256,0.04514234559060585,0.034369679149158824,0.4422390188323318
257,0.04471184529127577,0.033973911789207396,0.44173834660500294
258,0.04531292297399061,0.03423302280521896,0.45580908687797667
259,0.04474216370931583,0.03384198354937565,0.4580630386171073
260,0.04465554013455477,0.03403920935548819,0.4318943647342667
261,0.04475163537354236,0.03342425163458398,0.470389538898482
262,0.04432956645491786,0.03422608178728635,0.45227882832867733
263,0.04485192706535969,0.03468457132801601,0.46610829428674744
264,0.04488168376782256,0.03408102065029394,0.4404019429184208
265,0.0448979462519154,0.033940698671017414,0.4561390853517737
266,0.043933956754104025,0.0336566436938093,0.42884802217695295
267,0.04666074935979818,0.03573450586800633,0.4371357204077943
268,0.0441646696346323,0.034143097537178056,0.46732622035728005
269,0.04344757631303354,0.032941652413031104,0.48567172961490185
270,0.04560836219115742,0.034497857270998376,0.4773705759502817
271,0.04554101563774211,0.034526999654717505,0.4478720111375323
272,0.04444074660177079,0.03346241329550294,0.4480095592226334
273,0.04374860273918483,0.03302109550342176,0.4897717379027031
274,0.043234175997137754,0.03303290682510607,0.4761055640054145
275,0.045542218283805766,0.03392231683746653,0.4282999927398531
276,0.04520755965413702,0.034158779986932446,0.4511904826916287
277,0.045512838446578434,0.03514186416306057,0.46931105938267553
278,0.045218363942732355,0.03431561300900488,0.4577174804947325
279,0.047247450514318494,0.03526939502795026,0.4197959650858836
280,0.046160907805912345,0.03492680698284786,0.4509436263610105
281,0.046377841066804724,0.034842365069594865,0.4610112302966002
282,0.045786085841841864,0.03474679854714077,0.4407949669415223
283,0.0459865128783244,0.034541906313485055,0.4525011097475066
284,0.04432245617046505,0.03351992310134273,0.4591840473035373
285,0.046166184670943154,0.034786440317685415,0.44506784135550825
286,0.045644840744872635,0.03463190592142124,0.4547482757961639
287,0.045479399924251054,0.03412873505779458,0.46926828171355844
288,0.046081699418600054,0.034431041462649144,0.45429895539993737
289,0.0461827243007665,0.03481004969404581,0.44379509749123275
290,0.04423407498998076,0.03380709101755568,0.4315219704134555
291,0.04593321683414714,0.03468536135201329,0.45590703584341113
292,0.04539137237907373,0.0347929770523829,0.43201822042443117
293,0.04305012011204951,0.03339990233308988,0.4811858719592862
294,0.04574694061487673,0.03453694207565313,0.469191384167944
295,0.04398072142290496,0.033158196527876625,0.4593742703629314
296,0.04545255167469689,0.03405697040061444,0.48694375550128305
297,0.043624117513946854,0.03348069380929728,0.46823797313668025
298,0.048349917971392625,0.03648287694968207,0.41622372476330394
299,0.04410735837482249,0.033274040615583485,0.45426648346025
300,0.045198676280745996,0.03486395196990796,0.4318896900066592
301,0.04636905514885501,0.03467541543277102,0.43989021354221003
302,0.04562112694065321,0.03474366242518678,0.41189990391781983
303,0.044511517492931994,0.03439881740076788,0.4616339338944115
