OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
261,OBJEC_295,613,4462,5698,39015,28102,15772,7868,3784,2156,1242,725,459,908,60,18,7,0,0,0,0,0,0,0,0,0,0,0,0
262,OBJEC_296,216,1662,2276,20832,22522,18035,13145,9142,6404,4737,3293,2336,5712,438,79,16,10,9,6,5,4,10,0,0,0,0,0,0
263,OBJEC_297,237,1598,1969,16890,17797,14472,11240,8296,6655,5285,4249,3409,13132,3057,1238,552,272,178,107,89,65,100,2,0,0,0,0,0
264,OBJEC_298,60,547,935,10303,14904,14794,13530,11056,9540,7919,6122,4896,14572,1352,264,68,23,4,0,0,0,0,0,0,0,0,0,0
265,OBJEC_299,508,3974,5003,36475,29410,17957,9525,4396,2252,1005,506,262,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,OBJEC_300,1090,6811,7725,47450,27920,12776,5154,1500,500,185,74,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,OBJEC_301,271,1508,1856,14929,18048,16668,14550,10247,7895,5907,4147,3238,9043,1449,520,228,172,74,54,31,27,27,0,0,0,0,0,0
268,OBJEC_302,84,738,1177,10665,12522,11897,10287,8549,7187,6017,5007,4219,19633,5956,2680,1444,909,572,447,278,214,474,122,109,35,0,0,0
269,OBJEC_303,1022,6678,7474,45241,26828,12852,5857,2442,1317,610,301,145,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,OBJEC_304,111,979,1548,15337,20133,19674,16155,11400,8221,5454,3783,2333,5349,548,120,54,14,8,1,0,0,0,0,0,0,0,0,0
271,OBJEC_305,639,4088,5098,36484,28298,17039,9431,4690,2358,1245,650,389,478,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,OBJEC_306,1389,6955,6744,36636,24083,15462,9080,4664,2553,1239,687,379,777,147,63,27,4,0,0,0,0,0,0,0,0,0,0,0
273,OBJEC_308,288,1870,2411,20152,21798,19247,14734,9519,6512,4278,2905,2033,4745,319,67,11,0,0,0,0,0,0,0,0,0,0,0,0
274,OBJEC_310,2916,12510,10702,42493,18757,9326,6088,3191,2088,1136,760,488,757,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,OBJEC_311,50,430,701,8379,12942,13905,13047,11008,9574,7884,6489,5057,17730,2826,710,202,101,46,28,19,10,58,21,5,0,0,0,0
276,OBJEC_312,206,2069,3101,27350,27619,20393,13350,7636,4453,2378,1218,716,719,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
277,OBJEC_313,471,3224,3687,29126,25904,19298,12796,6825,4031,2298,1268,793,1464,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
