,run_no,predict,valid
2155,9,mixed,mixed
2156,9,smooth,smooth
2157,9,smooth,smooth
2158,9,smooth,mixed
2159,9,mixed,mixed
2160,9,rough,rough
2161,9,smooth,smooth
2162,9,smooth,smooth
2163,9,smooth,mixed
2164,9,rough,smooth
2165,9,rough,rough
2166,9,rough,mixed
2167,9,rough,mixed
2168,9,smooth,rough
2169,9,rough,smooth
2170,9,rough,mixed
2171,9,water,smooth
2172,9,mixed,rough
2173,9,smooth,smooth
2174,9,rough,rough
2175,9,rough,mixed
2176,9,mixed,rough
2177,9,rough,rough
2178,9,smooth,smooth
2179,9,rough,rough
2180,9,smooth,rough
2181,9,rough,rough
2182,9,smooth,smooth
2183,9,mixed,rough
2184,9,smooth,smooth
2185,9,smooth,smooth
2186,9,smooth,smooth
2187,9,rough,mixed
2188,9,rough,rough
2189,9,smooth,mixed
2190,9,smooth,smooth
2191,9,mixed,smooth
2192,9,mixed,smooth
2193,9,mixed,smooth
2194,9,mixed,rough
2195,9,smooth,smooth
2196,9,rough,smooth
2197,9,rough,mixed
2198,9,rough,water
2199,9,rough,mixed
2200,9,smooth,smooth
2201,9,mixed,water
2202,9,smooth,smooth
2203,9,mixed,rough
2204,9,smooth,rough
2205,9,rough,rough
2206,9,smooth,mixed
2207,9,mixed,rough
2208,9,smooth,mixed
2209,9,smooth,smooth
2210,9,smooth,smooth
2211,9,smooth,smooth
2212,9,smooth,mixed
2213,9,rough,smooth
2214,9,mixed,smooth
2215,9,rough,smooth
2216,9,mixed,smooth
2217,9,mixed,smooth
2218,9,mixed,mixed
2219,9,rough,mixed
2220,9,smooth,smooth
2221,9,mixed,rough
2222,9,rough,mixed
2223,9,smooth,smooth
2224,9,rough,smooth
2225,9,smooth,smooth
2226,9,mixed,smooth
2227,9,smooth,mixed
2228,9,mixed,mixed
2229,9,smooth,smooth
2230,9,mixed,smooth
2231,9,smooth,smooth
2232,9,smooth,mixed
2233,9,smooth,rough
2234,9,mixed,smooth
2235,9,smooth,water
2236,9,smooth,rough
2237,9,rough,smooth
2238,9,rough,smooth
2239,9,rough,rough
2240,9,mixed,smooth
2241,9,rough,rough
2242,9,mixed,mixed
2243,9,rough,mixed
2244,9,smooth,smooth
2245,9,smooth,smooth
2246,9,smooth,water
2247,9,rough,rough
2248,9,rough,rough
2249,9,mixed,mixed
2250,9,smooth,smooth
2251,9,mixed,smooth
2252,9,smooth,mixed
2253,9,smooth,rough
2254,9,rough,rough
2255,9,smooth,mixed
2256,9,smooth,smooth
2257,9,smooth,smooth
2258,9,smooth,smooth
2259,9,mixed,mixed
2260,9,rough,mixed
2261,9,mixed,water
2262,9,mixed,mixed
2263,9,mixed,mixed
2264,9,smooth,smooth
2265,9,rough,mixed
2266,9,mixed,smooth
2267,9,mixed,rough
2268,9,rough,rough
2269,9,smooth,smooth
2270,9,smooth,smooth
2271,9,rough,smooth
2272,9,smooth,mixed
2273,9,smooth,smooth
2274,9,mixed,smooth
2275,9,rough,mixed
2276,9,rough,mixed
2277,9,mixed,mixed
2278,9,smooth,smooth
2279,9,mixed,rough
2280,9,smooth,smooth
2281,9,smooth,mixed
2282,9,smooth,mixed
2283,9,rough,smooth
2284,9,rough,water
2285,9,smooth,mixed
2286,9,rough,rough
2287,9,smooth,mixed
2288,9,smooth,water
2289,9,mixed,smooth
2290,9,smooth,smooth
2291,9,rough,mixed
2292,9,smooth,mixed
2293,9,mixed,smooth
2294,9,rough,smooth
2295,9,smooth,smooth
2296,9,rough,rough
2297,9,smooth,smooth
2298,9,smooth,smooth
2299,9,smooth,rough
2300,9,rough,mixed
2301,9,rough,smooth
2302,9,rough,rough
2303,9,smooth,mixed
2304,9,smooth,mixed
2305,9,smooth,smooth
2306,9,smooth,smooth
2307,9,smooth,smooth
2308,9,rough,rough
2309,9,mixed,mixed
2310,9,smooth,rough
2311,9,mixed,smooth
2312,9,rough,rough
2313,9,rough,mixed
2314,9,rough,mixed
2315,9,smooth,mixed
2316,9,mixed,smooth
2317,9,mixed,mixed
2318,9,rough,rough
2319,9,rough,mixed
2320,9,mixed,smooth
2321,9,smooth,smooth
2322,9,smooth,mixed
2323,9,smooth,mixed
2324,9,smooth,rough
2325,9,rough,water
